creato 1	creato uri 1	creato 2	creato uri 2	creato 3	creato uri 3	creato 4	creato uri 4	creato 5	creato uri 5	creato 6	creato uri 6	creato 7	creato uri 7	creato 8	creato uri 8	creato 9	creato uri 9	creato 10	creato uri 10	creato 11	creato uri 11	creato 12	creato uri 12	creato 13	creato uri 13	creato 14	creato uri 14	subjec	descri	title	langua	publis	dmrecord	losse	source	find	dmmodified	date	contri	identi	dmcreated
Union Internationale des Associations par la Société des Nations.																														6. Circulaires van de Union Internationale des Associations par la Société des Nations.	English		140	Circulaires van de Union Internationale des Associations par la Société des Nations Union Internationale des Associations par la Société des Nations	Union Internationale des Associations par la Société des Nations.2	141.pdf	2021-05-27	1929		U12-51-006.pdf	2021-05-27
Maanen, Mr. H.J. van																														"1. Brochure: """"De Vereeniging voor Volkenbond en Vrede. Wat zij wil. Wat zij doet""""."	Dutch		148	Brochure De Vereeniging voor Volkenbond en Vrede Wat zij wil Wat zij doet Maanen Mr H J van	Volkenbond en Vrede.1	149.pdf	2021-05-27			V10-1-52-004.pdf	2021-05-27
Lecat, Maurice	http://viaf.org/viaf/76445476																													"7. Brochure: """"Lettre Ouverte au Premier Ministre""""."	French		162	Brochure Lettre Ouverte au Premier Ministre Lecat Maurice	Service Militaire Obligatoire.3	163.pdf	2021-06-02	Leuven, Brussel, 25 augustus 1931		S20-48-008.pdf	2021-06-02
Monastier, Hélène	http://viaf.org/viaf/72031790	Ceresole, Prof. Ir. Pierre																												"2. Boekje: """"Someo. Freiwilliger Zivildienst. Service Civil Volontaire""""."	German; French		170	Boekje Someo Freiwilliger Zivildienst Service Civil Volontaire Monastier Hélène Ceresole Prof Ir Pierre	Service Civil International.3	171.pdf	2021-06-02	1924 (?)		S18-47-011.pdf	2021-06-02
Ude, Prof. Dr. Johann																														"2. Zeitschrift für Volkssittlichkeit und Volksaufklärung. 6. Jahrgang-7. Heft, 1933"""". Bevat artikel: """"Österreich und Deutschland. Durch die Überwindung der Wirtschaftsnot zur völkischen Wiedergeburt unseres deutschen Volkes""""."	German		178	Zeitschrift für Volkssittlichkeit und Volksaufklärung Jahrgang- Heft 1933 Bevat artikel Österreich und Deutschland Durch die Überwindung der Wirtschaftsnot zur völkischen Wiedergeburt unseres deutschen Volkes Ude Prof Dr Johann	Ude, Prof. Dr. Johann.1	179.pdf	2021-06-02	1933		U04-51-002.pdf	2021-06-02
Fimmen, Edo	http://viaf.org/viaf/72274375																													"8. Rede: """"Guerre à  la Guerre. La Tà¢che du prolétariat organisé dans le mouvement pour la paix mondiale"""". (Uitgesproken op het Internationaal Congres voor den Wereldvrede, 's-Gravenhage, 10-15 december 1922.)"""""	French		186	Rede Guerre Ã  la Guerre La TÃ¢che du prolétariat organisé dans le mouvement pour la paix mondiale (Uitgesproken op het Internationaal Congres voor den Wereldvrede s-Gravenhage 10-15 december 192) Fimmen Edo	Socialisme.3	187.pdf	2021-06-02	Januari 1923		S22-48-010.pdf	2021-06-02
Adle, Mostafa		Eden, Anthony	http://viaf.org/viaf/109021646	Delbos, Yvon	http://viaf.org/viaf/36999689	Litvinoff, Maxime	http://viaf.org/viaf/12366644	Beck, Józef	http://viaf.org/viaf/54192172	Koo, Wellington		Munters, Vilhelms		Micesco, I.		Costa du Rels, Adolfo	http://viaf.org/viaf/95174595	Östen Undén, B.		Jordan, William Joseph		Spaak, Paul-Henri	http://viaf.org/viaf/34569945	Calderón, Ventura Garcà­a		Quevedo, Antonio J.				20. Brochure: The League of Nations. A vital necessity in the modern world. Adresses delivered on the occasion of the 100th session of the council, January 27th, 1938.	English		194	20 Brochure The League of Nations A vital necessity in the modern world Adresses delivered on the occasion of the 100th session of the council January 27th 193 Adle Mostafa Eden Anthony Delbos Yvon Litvinoff Maxime Beck Józef Koo Wellington Munters Vilhelms Micesco I Costa du Rels Adolfo Östen Undén B Jordan William Joseph Spaak Paul-Henri Calderón Ventura Garcà­a Quevedo Antonio J	Société des Nations.6 (Volkenbond)	195.pdf	2021-06-02	Geneva, 1938		S24-48-002.pdf	2021-06-02
Ackermann, Oskar																														"27. Brochure: """"Neuer Geist. Dokumente der Ver- söhnung und des Friedens""""."	German		202	Brochure Neuer Geist Dokumente der Ver- söhnung und des Friedens Ackermann Oskar	Société des Nations.8 (Volkenbond)	203.pdf	2021-06-02	1934 (?)		S24-48-010.pdf	2021-06-02
Koek-Mulder, A.M.																														"15. Brochure: """"Wat elke Nederlander moet weten van het Plechtige Grondverdrag van den Volkenbond"""". Uitgave: Secretariaat van het Comité tot ver- spreiding van het Statuut van den Volkenbond, Amsterdam."""""	Dutch		210	Brochure Wat elke Nederlander moet weten van het Plechtige Grondverdrag van den Volkenbond Uitgave Secretariaat van het Comité tot ver- spreiding van het Statuut van den Volkenbond Amsterdam Koek-Mulder A M	Société des Nations.4 (Volkenbond)	211.pdf	2021-06-02	Oktober 1924		S24-48-018.pdf	2021-06-02
Wansink, D.J.																														"9. Boekje: """"De Volkenbond. Kort overzicht voor H.B.S. en Gymnasium"""""	Dutch		218	Boekje De Volkenbond Kort overzicht voor H B S en Gymnasium Wansink D J	Société des Nations.2 (Volkenbond)	219.pdf	2021-06-02	1935		S24-48-023.pdf	2021-06-02
Mandere, H.Ch.G.J. van																														"3. Boekje: """"De Volkenbond in woord en beeld. Wat hij is, deed, wil, moet zijn""""."	Dutch		226	Boekje De Volkenbond in woord en beeld Wat hij is deed wil moet zijn Mandere H Ch G J van	Société des Nations.1 (Volkenbond)	227.pdf	2021-06-02			S24-48-031.pdf	2021-06-02
Westerhof, E.	http://viaf.org/viaf/283937270																													"1. Brochure: """"Het middel ter genezing onzer kranke maatschappij"""". Uitgave: """"Synthetische Orde"""", Amsterdam."	Dutch		234	Brochure Het middel ter genezing onzer kranke maatschappij Uitgave Synthetische Orde Amsterdam Westerhof E	Synthetische Orde.	235.pdf	2021-06-02	Zaandam, April 1935		S32-49-001.pdf	2021-06-02
Gogh-Kaulbach, Anna van	http://viaf.org/viaf/35505415																													"7. Toneelstuk: """"Offers. Spel van den oorlog in drie bedrijven (Dramatisch bijvoegsel van Groot-Nederland, Maart 1916)""""."	Dutch		242	Toneelstuk Offers Spel van den oorlog in drie bedrijven (Dramatisch bijvoegsel van Groot-Nederland Maart 1916) Gogh-Kaulbach Anna van	Théatre et Musique.2	243.pdf	2021-06-02	Maart 1916		T06-50-003.pdf	2021-06-02
Beernik, Ernst																														"Theatre play: """"Het Groote Spoor""""."	Dutch		250	Theatre play Het Groote Spoor Beernik Ernst	Théatre et Musique.1	251.pdf	2021-06-02	26-Apr		T06-50-011.pdf	2021-06-02
Morris, Stuart																														"6. Brochure: """"Conscripting Christianity"""". Uitgave: The Peace Pledge Union, London"""""	English		156	Brochure Conscripting Christianity Uitgave The Peace Pledge Union London Morris Stuart	Service Militaire Obligatoire.2	157.pdf	2021-06-02	1 augustus 1937		S20-48-002.pdf	2021-06-02
PAX Gezelschap voor Vredespropaganda, Antwerpen		V.V.O.S. 																										Peace Movement;	Programma : Peerke in de Hel, anti militaristische satyre in drie bedrijven door Reimond Sanders; Bestelkaart voor boeken; De werkzamheden van Pax.	26. Informatiemateriaal, folders en circulaires van poppentheater PAX/V.V.O.S., Antwerpen.	Dutch		164	Informatiemateriaal folders en circulaires van poppentheater PAX/V V O S Antwerpen PAX/V V O S Antwerpen	Théatre et Musique.6	165.pdf	2021-07-15			T06-50-025.pdf	2021-06-02
Schenk-Brill, A.M. van (Namens het Voorlopig Comité)																														"3. Brochure: """" Vrijheid van Geweten ook voor den Krijgsdienst. Een woord tot allen die naar eisch van hun geweten willen medewerken aan het Volkspetitionnement voor Gewetensvrijheid""""."	Dutch		172	Brochure Vrijheid van Geweten ook voor den Krijgsdienst Een woord tot allen die naar eisch van hun geweten willen medewerken aan het Volkspetitionnement voor Gewetensvrijheid Schenk-Brill A M van (Namens het Voorlopig Comité)	Service Militaire Obligatoire.1	173.pdf	2021-06-02	Amsterdam, Juli 1915		S20-48-005.pdf	2021-06-02
Ude, Prof. Dr. Johann Scharf, Prof. Dr. Willi																														"3. Persbericht: """"Prof. Dr. Johann Ude 65 jaar. Zijn strijd voor een crisislooze maatschappij en voor den Vrede"""". (2x)"""""	Dutch		180	Persbericht Prof Dr Johann Ude 65 jaar Zijn strijd voor een crisislooze maatschappij en voor den Vrede (2x) Ude Prof Dr Johann Scharf Prof Dr Willi	Ude, Prof. Dr. Johann.1	181.pdf	2021-06-02			U04-51-005.pdf	2021-06-02
Fimmen, Edo	http://viaf.org/viaf/72274375																													"6. Rede: """"War against war. The mission of organised labour in the movement for world peace"""". (Uitgesproken op het Internationaal Congres voor den Wereldvrede, 's-Gravenhage, 10-15 december 1922.)"""""	English		188	Rede War against war The mission of organised labour in the movement for world peace (Uitgesproken op het Internationaal Congres voor den Wereldvrede s-Gravenhage 10-15 december 192) Fimmen Edo	Socialisme.2	189.pdf	2021-06-02	Januari 1923		S22-48-012.pdf	2021-06-02
McCurdy C.A.		McArthur, Irene		Jones, Sir Henry		Davies, Major David		Bourgeois, Léon	http://viaf.org/viaf/91513665																					"18. Pamfletten: """"The League of Free Nations Association"""". Series 2, pamphlet nrs. 3,4,5,6,9 - 1918"""""	English		196	Pamfletten The League of Free Nations Association Series 2 pamphlet nrs 3 4 5 6 9 - 1918 McCurdy C A McArthur Irene Jones Sir Henry Davies Major David Bourgeois Léon	Société des Nations.5 (Volkenbond)	197.pdf	2021-06-02	1918		S24-48-004.pdf	2021-06-02
Swanwick, H.M.																														"25. Brochure: """"The Extraordinary Assembly""""."	English		204	Brochure The Extraordinary Assembly Swanwick H M	Société des Nations.7 (Volkenbond)	205.pdf	2021-06-02	Londen, mei 1926		S24-48-012.pdf	2021-06-02
Heide, Ds. A. v.d.																														"12. Brochure: """"De keuze is bij de Volkeren""""."	Dutch		212	Brochure De keuze is bij de Volkeren Heide Ds A v d	Société des Nations.3 (Volkenbond)	213.pdf	2021-06-02	1927		S24-48-020.pdf	2021-06-02
Heerdt tot Eversberg, Douair. P. Gravin van																														"7. Brochure: """"De Volkenbondsgedachte"""". (Overdruk uit Haarlem's Dagblad)"""""	Dutch		220	Brochure De Volkenbondsgedachte (Overdruk uit Haarlem s Dagblad) Heerdt tot Eversberg Douair P Gravin van	Société des Nations.2 (Volkenbond)	221.pdf	2021-06-02			S24-48-025.pdf	2021-06-02
Seeley, Prof.																														"2. Pamflet: """"Professor Seeley on the Prevention of War"""". (Reprinted from """"The Nonconformist"""" of March 1, 1871.)"""""	English		228	Pamflet Professor Seeley on the Prevention of War (Reprinted from The Nonconformist of March 1 187) Seeley Prof	Society of Friends.	229.pdf	2021-06-02	1 maart 1871		S25-48-002.pdf	2021-06-02
																														" 3. Propagandamateriaal, circulaires, folders van de """"Synthetische Orde"""", Amsterdam."""""	Dutch		236	Propagandamateriaal circulaires folders van de Synthetische Orde Amsterdam	Synthetische Orde.	237.pdf	2021-06-02	1935-1938		S32-49-003.pdf	2021-06-02
Stern, Alexander																														"12. Toneelstuk: """"Die Gekreuzigten. Revue in sechs Bildern aus den Tagen österreichischer Schlachtfeste""""."	German		244	Toneelstuk Die Gekreuzigten Revue in sechs Bildern aus den Tagen österreichischer Schlachtfeste Stern Alexander	Théatre et Musique.3	245.pdf	2021-06-02			T06-50-005.pdf	2021-06-02
Mierop, Lodewijk van																														Komitee voor Dienstweigeringskongressen: Verslag van de vergadering in Amsterdam, 22 september 1925. By Lodewijk van Mierop.	Dutch		252	Komitee voor Dienstweigeringskongressen Verslag van de vergadering in Amsterdam 22 september 192 By Lodewijk van Mierop Mierop Lodewijk van	Refus du Service Militaire.19	253.pdf	2021-06-02	23-Sep-25		R06-2-44-008.pdf	2021-06-02
Riley, William																														"1. Pamfletten, circulaires en """"Open Letters"""" van William Riley, """"Congregational Minister""""."	English		271	Pamfletten circulaires en Open Letters van William Riley Congregational Minister Riley William	Riley (William)	272.pdf	2021-07-02	1931-1933		R14-45-001.pdf	2021-07-02
																														2. Circulaires en propagandamateriaal van het Landelijk Comité van Actie van Dienstweigeraars in Nederland.	Dutch		279	Circulaires en propagandamateriaal van het Landelijk Comité van Actie van Dienstweigeraars in Nederland	Refus du Service Militaire.16	280.pdf	2021-07-02	1933-1936		R06-2-44-011.pdf	2021-07-02
Levinson, Salmon O.																														"1. Brochure: """"Peut-on 'imposer' la Paix? Études des sanctions internationales""""."	French		295	Brochure Peut-on imposer la Paix Études des sanctions internationales Levinson Salmon O	Sanctions Internationales. Internationale Sancties.	296.pdf	2021-07-02	8 januari 1925		S06-47-001.pdf	2021-07-02
																														"4. Krant: """"Neptune"""". 28e Année - No. 67, 5 oktober 1931. Betreft: betogingen te Hasselt i.v.m. fascisme en """"franskiljonisme""""."	French		303	Krant Neptune 28e Année - No 67 5 oktober 193 Betreft betogingen te Hasselt i v m fascisme en franskiljonisme	Refus du Service Militaire.20	304.pdf	2021-07-02	5 oktober 1931		R06-3-45-013.pdf	2021-07-02
Baan, L. de																														"1. Brochure: """"God en de Oorlog. Een openluchttoespraak""""."	Dutch		311	Brochure God en de Oorlog Een openluchttoespraak Baan L de	Religion et Paix. Religie en Vrede.	312.pdf	2021-07-02	Rotterdam, 1918		R08-45-003.pdf	2021-07-02
Rolland, Romain																														"2. Brochure: """"Stratégie et Tactique de la lutte contre la guerre et le fascisme. Comment empêcher la guerre?"""""	French		319	Brochure Stratégie et Tactique de la lutte contre la guerre et le fascisme Comment empêcher la guerre Rolland Romain	Rolland, (Romain)	320.pdf	2021-07-02	Parijs, 1936		R18-45-002.pdf	2021-07-02
Benedictus XV																														"1. Vrede's Encycliek van Z.H. Benedictus XV; """"Ad Beatissimi""""."	Dutch		327	Vrede s Encycliek van Z H Benedictus XV Ad Beatissimi Benedictus XV	Saint-Siège.1	328.pdf	2021-07-02	Amsterdam, 1914		S04-47-004.pdf	2021-07-02
Francois, J.H.																														De Dienstweigeringswet. Haar toepassing en gevolgen. Rotterdam: de Nieuwe Koers	Dutch		351	De Dienstweigeringswet Haar toepassing en gevolgen Rotterdam de Nieuwe Koers Francois J H	Refus du Service Militaire.04	352.pdf	2021-07-02			R06-1-44-003.pdf	2021-07-02
Bresler, Dr. Joh.																														"6. Brochure: """"Zum Ewigen Frieden""""."	German		359	Brochure Zum Ewigen Frieden Bresler Dr Joh	Pacifisme; problème de la Paix.1	360.pdf	2021-07-05	1919		P06-1-40-007.pdf	2021-07-05
Schoenmakers, Dr. M.H.J.																														"Oorsprong en wezen van den modernen wereldoorlog""""."	Dutch		367	Oorsprong en wezen van den modernen wereldoorlog Schoenmakers Dr M H J	Pacifisme; problème de la Paix.3	368.pdf	2021-07-05	1914		P06-2-40-005.pdf	2021-07-05
Wijk, Hein van	http://viaf.org/viaf/7411160668087403560004	Kamerling, Z.		Lindemans, G.J.	http://viaf.org/viaf/288608568	Tinbergen, J.	http://viaf.org/viaf/71149																							Wording, maandblad voor volksontwikkeling. Jaargang 3 - No. 5, 15 januari 1932.	Dutch		375	Wording maandblad voor volksontwikkeling Jaargang 3 - No 5 15 januari 193 Wijk Hein van Kamerling Z Lindemans G J Tinbergen J	Pacifisme; problème de la Paix.4	376.pdf	2021-07-05	15 januari 1932		P06-2-40-010.pdf	2021-07-05
Berendsohn, Walter A.																														Humanisme I det 20. aarhundrede	Norwegian		383	Humanisme I det 20 aarhundrede Berendsohn Walter A	Pacifisme; problème de la Paix.7	384.pdf	2021-07-05	1937		P06-2-40-016.pdf	2021-07-05
Kellogg, Frank B. (voorwoord)		Guthrie D'Arcis, Clara (inleiding)		Smeth D'Alphen, Marie de (inleiding)																										"10. Brochure: """"Le Pacte de Paris. Pacte Briand- Kellogg avec une préface de Frank B. Kellogg"""". Uitgave: Union Mondiale de la Femme, Genève."""""	French		391	Brochure Le Pacte de Paris Pacte Briand- Kellogg avec une préface de Frank B Kellogg Uitgave Union Mondiale de la Femme Genève Kellogg Frank B (voorwoord) Guthrie D Arcis Clara (inleiding) Smeth D Alphen Marie de (inleiding)	Pacte-Briand-Kellogg.3 (Kellogg-Verdrag)	392.pdf	2021-07-05	Genève, 1933		P10-40-002.pdf	2021-07-05
Limburg, Mr. J.																														"1. Overdruk uit """"Haagsch Maandblad."""" (2x) September 1928, Deel X. Nummer 3"""". Bevat artikel: """"Het Kellogg-Verdrag""""."	Dutch; English		407	Overdruk uit Haagsch Maandblad (2x) September 1928 Deel X Nummer 3 Bevat artikel Het Kellogg-Verdrag Limburg Mr J	Pacte-Briand-Kellogg.1 (Kellogg-Verdrag)	408.pdf	2021-07-05	28-Sep		P10-40-007.pdf	2021-07-05
Taylor, Ernest E.		Whitlock, Brand	http://viaf.org/viaf/23336635	Hugo, Victor	http://viaf.org/viaf/9847974	Dickens, Charles	http://viaf.org/viaf/88666393	Ewer, W.N.	http://viaf.org/viaf/198832922																					"7. Boekje: """"A Treaty 'never Broken' & Other Stories"""". Uitgave: The Literature Committee for the 1905 Committee of Yorkshire Quarterly Meeting of the Society of Friends."""""	English		415	Boekje A Treaty never Broken & Other Stories Uitgave The Literature Committee for the 1905 Committee of Yorkshire Quarterly Meeting of the Society of Friends Taylor Ernest E Whitlock Brand Hugo Victor Dickens Charles Ewer W N	Pan Europe.5	416.pdf	2021-07-05	1925		P12-41-004.pdf	2021-07-05
Liechti, E.																														"8. Krant: """"La Révolution Pacifique"""". No. 21 - 1930."""""	French		431	Krant La Révolution Pacifique No 21 - 1930 Liechti E	Service Civil International.4	432.pdf	2021-07-05	1930		S18-47-001.pdf	2021-07-05
Bähler, Louis A.																														Mijne Memorie van toelichting voor mijne Rechters inzake het zogenaamde Manifest der dienstweigeraars. By Louis A. Bähler, 1915	Dutch		439	Mijne Memorie van toelichting voor mijne Rechters inzake het zogenaamde Manifest der dienstweigeraars By Louis A Bähler 1915 Bähler Louis A	Refus du Service Militaire.23	440.pdf	2021-07-05	1915		R06-3-45-003.pdf	2021-07-05
Enka																														"13. Brochure: """"De Daad""""."	Dutch		447	Brochure De Daad Enka	Refus du Service Militaire.23	448.pdf	2021-07-05	Oktober 1915		R06-3-45-005.pdf	2021-07-05
Ruysch, W.A. (samensteller)		Meijer, J (redactie)		Carmiggelt, S (redactie)		Kierdorff, W (redactie)		Beelaerts van Blokland, Jhr.Mr.F		Amery, L.S.	http://viaf.org/viaf/7420312	Altamira y Crevea, Prof. Rafael		Pusta, C.R.		Schaepman, Th.F.M.		Bonjer, Mgr. J.H. 		Vries, Prof. C.W. de		Auer, Dr. Paul von 		Coudenhove-Kalergi, Dr. R.N. Graaf						De Schakelaar. Orgaan van Haag- sche Instellingen voor voorbereidend Hooger- en Middelbaar Onderwijs. Vijfde jaargang. Paneuropa-nummer. Maart 1931. Met bijdragen van: Beelaerts van Blokland, Jhr.Mr.F, Amery, L.S., Altamira	Dutch		455	De Schakelaar Orgaan van Haag- sche Instellingen voor voorbereidend Hooger- en Middelbaar Onderwijs Vijfde jaargang Paneuropa-nummer Maart 193 Met bijdragen van Beelaerts van Blokland Jhr Mr F Amery L S Altamira Ruysch W A (samensteller) Meijer J (redactie)Carmiggelt S (redactie) Kierdorff W (redactie) Beelaerts van Blokland Jhr Mr F Amery L S Altamira y Crevea Prof Rafael Pusta C R Schaepman Th F M Bonjer Mgr J H Vries Prof C W de Auer	Pan Europe.1	456.pdf	2021-07-05	Maart 1931		P12-41-023.pdf	2021-07-05
